Date,Open,High,Low,Close,Adj Close,Volume
05-07-2016,23.8475,23.85,23.615,23.747499,21.927603,110820800
06-07-2016,23.65,23.915001,23.592501,23.8825,22.05225,123796400
07-07-2016,23.924999,24.125,23.905001,23.985001,22.146894,100558400
08-07-2016,24.122499,24.2225,24.012501,24.17,22.317719,115648400
11-07-2016,24.1875,24.4125,24.182501,24.245001,22.386971,95179600
12-07-2016,24.2925,24.424999,24.280001,24.355,22.488539,96670000
13-07-2016,24.352501,24.4175,24.209999,24.217501,22.361576,103568800
14-07-2016,24.3475,24.747499,24.33,24.6975,22.8048,155676000
15-07-2016,24.73,24.825001,24.625,24.695,22.802488,120548000
18-07-2016,24.674999,25.032499,24.65,24.9575,23.044868,145975600
19-07-2016,24.889999,25,24.834999,24.967501,23.054098,95119600
20-07-2016,25,25.115,24.934999,24.99,23.074871,105104000
21-07-2016,24.9575,25.25,24.782499,24.8575,22.952528,130808000
22-07-2016,24.815001,24.825001,24.577499,24.665001,22.774788,113254800
25-07-2016,24.5625,24.709999,24.23,24.334999,22.470076,161531600
26-07-2016,24.205,24.4925,24.105,24.1675,22.315411,224959200
27-07-2016,26.067499,26.0875,25.6875,25.737499,23.765089,369379200
28-07-2016,25.7075,26.112499,25.705,26.084999,24.085966,159479200
29-07-2016,26.047501,26.137501,25.92,26.0525,24.055952,110934800
01-08-2016,26.102501,26.5375,26.102501,26.512501,24.480701,152671600
02-08-2016,26.512501,26.5175,26,26.120001,24.118275,135266400
03-08-2016,26.202499,26.459999,26.192499,26.4475,24.420677,120810400
04-08-2016,26.395,26.5,26.32,26.467501,24.571539,109634800
05-08-2016,26.567499,26.9125,26.545,26.870001,24.945208,162213600
08-08-2016,26.879999,27.092501,26.790001,27.092501,25.15177,112148800
09-08-2016,27.057501,27.235001,27.002501,27.202499,25.253893,105260800
10-08-2016,27.1775,27.225,26.940001,27,25.065895,96034000
11-08-2016,27.129999,27.2325,26.9625,26.9825,25.049648,109938000
12-08-2016,26.945,27.110001,26.945,27.045,25.107676,74641600
15-08-2016,27.035,27.385,27.02,27.370001,25.409393,103472800
16-08-2016,27.407499,27.557501,27.3025,27.344999,25.386185,135177600
17-08-2016,27.275,27.342501,27.084999,27.305,25.349047,101424000
18-08-2016,27.307501,27.4,27.254999,27.27,25.316555,87938800
19-08-2016,27.192499,27.422501,27.09,27.34,25.38154,101472400
22-08-2016,27.215,27.275,26.9625,27.127501,25.184261,103280800
23-08-2016,27.147499,27.33,27.1325,27.2125,25.26317,85030800
24-08-2016,27.1425,27.1875,26.92,27.0075,25.072857,94700400
25-08-2016,26.8475,26.969999,26.67,26.8925,24.966093,100344800
26-08-2016,26.852501,26.987499,26.577499,26.735001,24.819883,111065200
29-08-2016,26.655001,26.860001,26.5725,26.705,24.792025,99881200
30-08-2016,26.450001,26.625,26.375,26.5,24.601709,99455600
